word,score
egypt,11870
video,9555
pyramid,5494
best,3772
bro,3272
great,3202
thank,3193
hour,3146
water,2066
proud,2063
cool,1903
mrbeast,1854
time,1643
histori,1642
world,1530
next,1459
money,1398
properti,1291
peopl,1274
beast,1197
first,1183
thing,1168
much,1164
crazi,1131
bangladesh,1074
ancient,1058
year,1051
love,1040
gold,948
amaz,903
wow,813
welcom,804
civil,777
old,774
awesom,733
beauti,723
vm,721
tomb,692
im,692
nice,691
u,665
youtub,657
alien,647
come,643
place,612
view,589
big,585
wonder,567
mani,558
content,557
new,555
access,546
vid,542
gang,539
area,536
whole,503
gran,501
power,495
te,478
way,478
misterio,474
amenti,469
lol,463
dude,460
brain,456
insan,451
anyth,451
incred,425
karl,424
guy,417
interest,417
part,405
pharaoh,396
fan,389
happi,381
govern,376
cave,372
escrib,371
anyon,370
super,368
king,365
adventur,364
lot,362
zahi,358
game,354
curs,340
ind,331
subscrib,325
top,324
mummi,316
mother,315
experi,310
eat,310
mister,304
space,302
feastabl,298
one,294
hello,293
arab,289
greet,287
land,284
free,284
nolan,281
histor,281
long,280
amoeba,280
pakistan,280
pl,279
sure,277
day,263
imagin,254
cant,240
granmisterio,240
spent,238
famou,235
origin,233
last,233
that,231
funni,226
min,225
cameraman,225
diver,222
iam,220
person,219
challeng,219
mysteri,216
visit,215
someon,215
full,214
team,213
realli,213
jew,213
spend,212
swarm,210
brother,206
small,205
good,202
right,197
templ,197
irl,197
chocol,195
episod,194
saluda,194
help,193
million,193
inform,191
dollar,191
fun,188
bodi,185
human,183
stuff,182
build,181
yo,181
wait,181
hey,180
abl,179
massiv,178
version,177
effort,176
piramid,176
insid,175
noth,175
palestin,173
life,171
short,171
work,169
tour,168
indiana,168
footag,166
unrestrict,161
languag,161
larg,160
earth,160
indonesia,159
chamber,159
wall,157
extend,156
explor,155
magic,154
kind,154
omg,154
citi,154
slave,154
excit,152
giza,151
danger,151
mom,150
ur,150
iphon,150
today,145
iraq,145
theori,143
thousand,143
graffiti,143
jone,143
cost,143
ok,142
nepal,142
disrespect,141
w,141
l,141
point,141
builder,140
sphinx,139
flag,139
mar,135
plz,135
gon,134
cut,133
goat,132
watch,131
buy,131
permiss,129
ahh,128
trip,128
less,128
friend,126
graham,126
hope,125
english,125
entir,124
hawass,122
energi,122
nobodi,122
tourism,121
perfect,120
room,120
tunnel,119
type,117
documentari,117
need,117
toy,116
sad,115
fantast,114
make,114
mexico,114
erowni,114
hancock,114
joe,114
vedio,113
hard,112
form,111
dub,111
ye,111
sub,111
level,110
yt,110
edit,109
creed,108
luxor,108
reason,107
nah,107
wish,106
look,106
stone,106
coolest,105
true,105
advanc,104
underworld,103
guid,102
wild,102
scari,102
import,101
turk,101
legend,100
cultur,100
uniqu,99
ive,99
mind,98
proof,98
drone,97
lmao,97
sir,97
tourist,96
get,96
chanc,95
monument,95
claustrophob,95
gift,95
turkey,95
journey,93
class,92
possibl,92
wirtual,92
wat,92
follow,91
still,90
epic,90
minut,90
dont,90
question,90
educ,89
film,89
angkor,89
poland,88
impress,87
see,87
high,87
audio,87
night,87
lebanes,86
low,85
movi,85
hole,85
hous,85
somehow,84
catacomb,84
rogan,84
bruh,83
littl,83
museum,83
caus,83
month,83
support,83
damn,83
eye,81
special,81
worth,81
amount,81
hr,81
complet,80
piec,80
plant,80
tamil,80
japanes,80
bit,80
fr,78
futur,78
burial,78
boy,78
logan,78
earli,78
israelit,78
face,77
valley,77
electr,76
rock,76
week,76
ever,75
ai,75
gener,75
modern,74
treasur,74
gta,74
bacteria,74
tri,74
think,74
knowledg,73
nation,72
allah,72
sorri,72
joke,72
bat,72
care,71
golden,71
enjoy,70
polish,70
paint,69
el,69
head,68
creator,67
def,67
everybodi,67
tho,67
congratul,66
sound,66
clip,66
islam,66
pari,66
grand,66
ban,66
huge,65
mean,65
iran,65
back,65
glad,63
soo,63
shree,63
ram,63
block,63
paul,63
expens,63
date,63
warm,62
stori,62
countri,62
na,62
air,62
safe,62
yeah,61
lie,61
detail,60
pretti,60
pay,60
moment,60
aswan,60
play,60
archaeolog,59
jealou,59
doubt,59
ton,59
civilis,58
imposs,58
book,57
deep,57
chandler,57
propaganda,57
structur,57
unbeliev,57
jai,57
hand,57
second,57
hai,57
track,57
side,57
past,56
what,56
mil,56
technolog,56
jojo,56
giant,56
strong,55
israel,55
dedic,54
legendari,54
record,54
pharaon,54
word,54
research,54
skeleton,54
actual,54
shaft,54
cooki,54
china,54
hindi,54
mount,54
magnific,53
sourc,53
philippin,53
minecraft,53
underground,53
alot,53
stupid,53
stillwat,53
poor,53
entertain,52
tall,52
dumb,52
alway,51
xd,51
de,51
planet,51
moham,51
let,51
news,51
napoleon,51
american,51
button,51
claustrophobia,51
egipt,51
yall,51
camel,50
isnt,50
discoveri,50
hebrew,50
shoutout,50
bone,50
oxygen,50
decoy,50
helicopt,50
lebanon,50
kinda,49
singl,48
enough,48
construct,48
btw,48
excel,48
refer,48
everest,48
car,48
descend,47
meme,47
taper,47
middl,47
season,46
avail,46
easi,46
he,46
stagnant,46
scienc,45
vibe,45
exclus,45
imag,45
write,45
sudan,45
habibi,45
borobudur,45
group,45
mi,45
cambodia,45
tu,45
que,45
se,45
privileg,44
craziest,44
definit,44
cradl,44
greek,44
taj,44
reali,44
america,44
foot,44
rn,44
lab,44
unblock,44
muhammad,43
live,43
jewish,43
seri,42
thx,42
master,42
opportun,42
share,42
exact,42
sens,42
ammar,42
entranc,42
cuz,42
varmi,42
dang,42
blow,42
e,42
island,42
locat,42
var,42
open,42
la,42
bc,42
naruto,42
ac,42
indones,42
bibl,42
start,41
fade,41
dark,41
jesu,41
fact,41
curiou,41
sea,41
ra,41
bangladeshi,41
ppl,40
unknown,40
archaeologist,39
ancestor,39
hundr,39
sri,39
music,39
want,39
vidio,39
scene,39
assassin,39
holi,39
bosnia,39
tut,39
rah,39
ladder,39
titl,39
yoo,39
didnt,39
r,39
box,39
tr,39
ya,39
star,38
republ,38
seriou,38
soy,38
mahal,38
